
Mass percent        Group : yasumoto        Sample : ND0209_150515o   Page 1 

   No.      SiO2     TiO2     Al2O3    Cr2O3    FeO      MnO      MgO      CaO      Na2O     K2O     Total     Comment
   75     54.552     -      12.081    0.015    4.418    0.039    8.372   13.404    6.509    0.033   99.423   150515-047-1 
   76     55.258    0.437   11.780     -       4.226     -       8.178   12.889    6.781    0.043   99.592   150515-047-2 
   77     55.646    0.264   12.705    0.082    3.967    0.043    7.943   12.428    6.966    0.010  100.054   150515-048-1 
   78     54.924    0.125   12.717    0.022    4.326    0.027    8.064   12.659    6.909    0.011   99.784   150515-048-2 
   79     55.077    0.160   12.887    0.022    4.016    0.039    7.895   12.757    6.927    0.016   99.796   150515-049-1 
   80     55.397    0.104   12.474    0.052    4.473    0.068    7.901   11.824    6.725    0.054   99.072   150515-049-2 
   81     55.300    0.187   12.842    0.032    4.573    0.021    7.855   12.761    6.808    0.019  100.398   150515-049-3 
   82     54.981    0.478   12.947     -       4.361     -       8.062   13.096    6.751    0.024  100.700   150515-049-4 
   83     55.392    0.326   12.875    0.032    4.115    0.078    7.964   12.931    7.004     -     100.717   150515-050-1 
   84     55.826     -      12.824    0.057    3.784    0.008    7.725   12.334    7.411    0.032  100.001   150515-050-2 
   85     56.224    0.201   12.816    0.052    3.656    0.056    7.692   12.241    7.532    0.023  100.493   150515-050-3 
   86     55.935    0.402   12.404    0.027    3.780    0.039    7.767   12.478    7.020    0.031   99.883   150515-050-4 
   87     54.612    0.312   13.267    0.050    4.113    0.062    7.963   13.493    6.624    0.022  100.518   150515-050-5 
   88     54.657    0.174   12.326     -       3.849    0.033    8.148   13.695    6.723     -      99.605   150515-051-1 
   89     54.736    0.333   12.672    0.054    4.089    0.070    8.264   13.775    6.563    0.021  100.577   150515-051-2 
  -----------------------------------------------------------------------------
Minimum   40.879     -       8.106     -       3.656     -       7.692   10.385    3.474     -      95.669 
Maximum   56.232    0.618   16.279    0.183    9.729    0.123   13.774   16.016    7.532    0.608  101.229 
Average   54.702    0.227   11.366    0.067    4.362    0.037    9.027   13.985    6.130    0.028   99.929 
Sigma      1.605    0.133    1.459    0.053    0.640    0.028    1.023    1.253    0.806    0.064    0.699 

No. of data 89 

